sample_time, force1, force2, force3, pressure1, pressure2, pressure3, temp1
0.286,0,0,0,1.02516796254,1.00591876172,0.988474173471,1102.09293101
0.29,0,0,0,1.02456642501,1.00050492398,0.988474173471,1102.09293101
0.294,0,0,0,1.02516796254,1.00230953656,0.989075710997,1098.96071386
0.298,0,0,0,1.02516796254,1.00531722419,0.988474173471,1098.96071386
0.301,0,0,0,1.02516796254,1.00591876172,0.989075710997,1098.96071386
0.305,0,0,0,1.02516796254,1.00832491182,0.989075710997,1103.64256359
0.308,0,0,0,1.02516796254,1.00170799904,0.988474173471,1102.09293101
0.312,0,0,0,1.02516796254,1.00591876172,0.988474173471,1097.39460529
0.316,0,0,0,1.02516796254,1.00712183677,0.988474173471,1098.96071386
0.319,0,0,0,1.02516796254,1.00652029924,0.989075710997,1102.09293101
0.344,0,0,0,1.02516796254,1.00050492398,0.989075710997,1098.96071386
0.348,0,0,0,1.02516796254,1.00712183677,0.988474173471,1098.96071386
0.352,0,0,0,1.02516796254,1.00712183677,0.989075710997,1102.09293101
0.356,0,0,0,1.02516796254,1.00652029924,0.989075710997,1102.09293101
0.36,0,0,0,1.02516796254,1.00110646151,0.989075710997,1102.09293101
0.363,0,0,0,1.02516796254,1.00712183677,0.989075710997,1098.96071386
0.367,0,0,0,1.02516796254,1.00591876172,0.989075710997,1098.96071386
0.371,0,0,0,1.02576950006,1.00591876172,0.988474173471,1102.09293101
0.375,0,0,0,1.02516796254,1.00351261161,0.989075710997,1102.09293101
0.379,0,0,0,1.02516796254,1.00411414914,0.988474173471,1097.39460529
0.4,0,0,0,1.02516796254,1.00712183677,0.988474173471,1098.96071386
0.404,0,0,0,1.02516796254,1.00712183677,0.988474173471,1103.64256359
0.408,0,0,0,1.02516796254,1.00471568666,0.989075710997,1102.09293101
0.412,0,0,0,1.02516796254,1.00712183677,0.989075710997,1098.96071386
0.416,0,0,0,1.02516796254,1.00712183677,0.988474173471,1098.96071386
0.42,0,0,0,1.02516796254,1.00471568666,0.989075710997,1102.09293101
0.423,0,0,0,1.02516796254,1.00230953656,0.989075710997,1103.64256359
0.427,0,0,0,1.02516796254,1.00411414914,0.988474173471,1100.52682243
0.431,0,0,0,1.02516796254,1.00712183677,0.989075710997,1098.96071386
0.435,0,0,0,1.02456642501,1.00772337429,0.989075710997,1102.09293101
0.476,0,0,0,1.02516796254,1.00230953656,0.989075710997,1098.96071386
0.48,0,0,0,1.02516796254,1.00652029924,0.989075710997,1098.96071386
0.484,0,0,0,1.02516796254,1.00832491182,0.988474173471,1102.09293101
0.488,0,0,0,1.02516796254,1.00712183677,0.988474173471,1102.09293101
0.492,0,0,0,1.02516796254,0.999903386459,0.989075710997,1102.09293101
0.496,0,0,0,1.02516796254,1.00411414914,0.988474173471,1097.39460529
0.5,0,0,0,1.02516796254,1.00652029924,0.988474173471,1100.52682243
0.503,0,0,0,1.02516796254,1.00652029924,0.989075710997,1103.64256359
0.507,0,0,0,1.02516796254,0.999301848933,0.988474173471,1102.09293101
0.511,0,0,0,1.02456642501,1.00351261161,0.988474173471,1098.96071386
0.552,0,0,0,1.02516796254,1.00591876172,0.988474173471,1100.52682243
0.556,0,0,0,1.02576950006,1.00170799904,0.989075710997,1103.64256359
0.56,0,0,0,1.02516796254,1.00170799904,0.988474173471,1100.52682243
