sample_time, force1, force2, force3, pressure1, pressure2, pressure3, temp1
0.28,0,0,0,1.55632559769,1.80235444568,0.986669560894,0
0.283,0,0,0,1.55632559769,1.80295598321,0.986669560894,0
0.286,0,0,0,1.55632559769,1.80355752073,0.986669560894,0
0.289,0,0,0,1.55632559769,1.80355752073,0.98727109842,0
0.291,0,0,0,1.55632559769,1.80235444568,0.986669560894,0
0.294,0,0,0,1.55692713521,1.80415905826,0.98727109842,0
0.297,0,0,0,1.55632559769,1.80295598321,0.986669560894,0
0.3,0,0,0,1.55632559769,1.80295598321,0.986669560894,0
0.302,0,0,0,1.55692713521,1.80235444568,0.98727109842,0
0.305,0,0,0,1.55632559769,1.80295598321,0.986669560894,0
0.328,0,0,0,1.55692713521,1.80355752073,0.98727109842,0
0.331,0,0,0,1.55632559769,1.80115137063,0.986669560894,0
0.334,0,0,0,1.55692713521,1.8005498331,0.986669560894,0
0.336,0,0,0,1.55632559769,1.80115137063,0.98727109842,0
0.339,0,0,0,1.55632559769,1.80295598321,0.986669560894,0
0.341,0,0,0,1.55632559769,1.80295598321,0.98727109842,0
0.344,0,0,0,1.55632559769,1.80175290816,0.986669560894,0
0.347,0,0,0,1.55692713521,1.80295598321,0.98727109842,0
0.35,0,0,0,1.55692713521,1.80235444568,0.98727109842,0
0.352,0,0,0,1.55632559769,1.80295598321,0.987872635946,0
0.373,0,0,0,1.55632559769,1.80295598321,0.98727109842,0
0.376,0,0,0,1.55632559769,1.80235444568,0.98727109842,0
0.379,0,0,0,1.55692713521,1.80295598321,0.98727109842,0
0.381,0,0,0,1.55632559769,1.80295598321,0.98727109842,0
0.384,0,0,0,1.55692713521,1.80235444568,0.986669560894,0
0.386,0,0,0,1.55632559769,1.80415905826,0.98727109842,0
0.389,0,0,0,1.55632559769,1.80295598321,0.986669560894,0
0.392,0,0,0,1.55632559769,1.80415905826,0.986669560894,0
0.395,0,0,0,1.55632559769,1.80235444568,0.986068023369,0
0.397,0,0,0,1.55632559769,1.80175290816,0.986669560894,0
0.436,0,0,0,1.55632559769,1.80235444568,0.986669560894,0
0.439,0,0,0,1.55632559769,1.80175290816,0.986669560894,0
0.441,0,0,0,1.55692713521,1.80235444568,0.98727109842,0
0.444,0,0,0,1.55692713521,1.80175290816,0.98727109842,0
0.447,0,0,0,1.55632559769,1.80235444568,0.986669560894,0
0.449,0,0,0,1.55692713521,1.80235444568,0.986068023369,0
0.452,0,0,0,1.55632559769,1.80175290816,0.986669560894,0
0.455,0,0,0,1.55692713521,1.80295598321,0.986669560894,0
0.457,0,0,0,1.55692713521,1.80295598321,0.98727109842,0
0.46,0,0,0,1.55632559769,1.80295598321,0.986669560894,0
0.498,0,0,0,1.55632559769,1.80235444568,0.986669560894,0
0.501,0,0,0,1.55572406016,1.80235444568,0.98727109842,0
0.503,0,0,0,1.55692713521,1.80295598321,0.98727109842,0
0.506,0,0,0,1.55632559769,1.80355752073,0.986669560894,0
0.509,0,0,0,1.55632559769,1.80115137063,0.986669560894,0
0.512,0,0,0,1.55692713521,1.80355752073,0.986669560894,0
0.515,0,0,0,1.55632559769,1.80295598321,0.98727109842,0
0.517,0,0,0,1.55692713521,1.80355752073,0.986669560894,0
0.52,0,0,0,1.55632559769,1.80295598321,0.986669560894,0
0.522,0,0,0,1.55632559769,1.79934675805,0.98727109842,0
0.567,0,0,0,1.55692713521,1.80295598321,0.986669560894,0
0.57,0,0,0,1.55632559769,1.80295598321,0.98727109842,0
0.572,0,0,0,1.55632559769,1.80295598321,0.986669560894,0
0.575,0,0,0,1.55692713521,1.80175290816,0.986669560894,0
